ID,Topic
304,Australia
305,Bill Vetoes
306,Military Compensation and Retirement Modernization Commission
307,Asian American and Pacific Islander Heritage Month
308,"Law Day, U.S.A"
309,South Africa
310,Defense of Marriage Act
311,"Lesbian, Gay, Bisexual, and Transgender Pride Month"
312,Child Soldiers Prevention Act of 2008
313,"Diabetes Month, National"
314,Great Outdoors Month
315,"Family Caregivers Month, National"
316,"Adoption Month, National"
317,Notice
318,"Prayer for Peace, Memorial Day"
319,"Economic Council, National"
320,Edward M. Kennedy Serve America Act
321,Teach for America
322,"Hospice Month, National"
323,Michigan
324,Minnesota
325,South Carolina
326,Chile
327,Address to the Nation
328,"Native American Heritage Month, National"
329,"Labor Relations Act, National"
330,Kentucky
331,"Veterans, Department of"
332,"Vietnam war, 50th anniversary"
333,Vietnam
334,African-American Music Appreciation Month
335,Indonesia
336,"Army, Department of the"
337,"Italian American Foundation, National"
338,Italy
339,Slavery (historical) in U.S
340,"Tax cuts, budgetary effects"
341,Jewish American Heritage Month
342,Girl Scouts of America
343,State Department of
344,"Prayer, National Day of"
345,Columbia
346,Korea
347,Panama
348,"Caribbean-American Heritage Month, National"
349,Asia-Pacific Economic Cooperation (APEC)
350,"Asian Nations, Association of Southeast (ASEAN)"
351,Greece
352,Bolivia
353,Ecuador
354,V
355,Veterans Day
356,"Oceans Month, National"
357,Kyrgyzstan
358,Qatar
359,Child tax credit
360,"Economic, national"
361,North Carolina
362,Anti-Defamation League
363,Organizing for Action
364,"Interior, Department of"
365,Oklahoma
366,Jerusalem Embassy Act of 1995
367,"Governors, newly elected, meeting with President"
368,"Rhode Island, Governor-elect"
369,"Arts and Humanities, President's Committee on the"
370,"Decorations, medals and awards"
371,Holy See (Vatican City)
372,"Prayer Breakfast, National"
373,"Tibet, Dalai Lama"
374,Haiti
375,"Chamber of Commerce, U.S"
376,"Faith-Based and Neighborhood Partnerships, President’s Advisory Council for"
377,Cabinet
378,Wounded Warrior Project Soldier Ride
379,"Air Force, Department of the"
380,Utah
381,South Sudan
382,Easter
383,Passover
384,"Peru, Ambassador to U.S"
385,Costa Rica
386,Faith and Freedom Coalition
387,Libya
388,Lebanon
389,"Public Radio, National"
390,"Foreign, policy, U.S"
391,Nevada
392,Independence Day
393,"Navy, Department of the"
394,Assistants to the President
395,"Intelligence, Office of the Director of National"
396,"Veterans Affairs, Department of the"
397,Kenya
398,Access to health and medical care
399,"Civil Aviation Organization, International"
400,Doctors Without Borders/Médecins Sans Frontières (MSF)
401,Federal Reserve System
402,"Arts and Humanities Month, National"
403,Memorial Day
404,"Executive orders, amendments"
405,Space program
406,Exchanges with reporters
407,Global Food Security Act of 2016
408,E
409,x
410,O
411,Announcements
412,Defense Production Act Committee
413,Bermuda
414,Government agencies and employees
415,Directives
